Sample in Buffer,Sample in Window,TRIGGER,top_i/c_shift_ram_0_Q[15:0],top_i/waveform_iq_waveform_i[17:0],top_i/lut_decoder_1_x8[17:0],top_i/ddc_branch_0_x7673,top_i/xlslice_1_Dout[35:0],top_i/xlslice_2_Dout[35:0],top_i/unwrap_diff_0_x55,top_i/unwrap_diff_0_x56[31:0],top_i/signal_input_adc_out_2[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,HEX,SIGNED,SIGNED,HEX,SIGNED,SIGNED
7444,7444,0,3,92698,92663,0,-753939,-506865,0,5,-74
7445,7445,0,9,121108,-50124,0,-746385,-499311,0,6,-4
7446,7446,0,7,131071,-1,0,-741311,-489163,0,7,-80
7447,7447,0,1,121089,-50171,0,-730927,-478779,0,8,-6
7448,7448,0,7,92663,-92699,0,-723831,-471683,0,9,-23
7449,7449,0,-4,-50124,-121109,0,-721531,-469383,0,10,-10
7450,7450,0,3,-1,-131072,0,-724609,-472461,0,11,9
7451,7451,0,-3,-50171,-121090,0,-731557,-479409,0,12,-64
7452,7452,0,17,-92699,-92664,0,-736569,-481915,0,13,-32
7453,7453,0,5,-121109,50123,0,-738370,-481915,0,14,-96
7454,7454,0,-2,-131072,0,0,-739684,-483886,0,15,-16
7455,7455,0,-3,-121090,50170,0,-738828,-483030,0,16,-91
7456,7456,0,-3,-92664,92698,0,-735534,-480834,0,17,-12
7457,7457,0,8,50123,121108,0,-733082,-478382,0,18,-12
7458,7458,0,5,0,131071,0,-730367,-476572,0,19,-4
7459,7459,0,-5,50170,121089,0,-729651,-475498,0,20,-33
7460,7460,0,7,92698,92663,0,-730155,-475834,0,21,-126
7461,7461,0,8,121108,-50124,0,-731157,-477337,0,22,-51
7462,7462,0,14,131071,-1,0,-731740,-479086,0,23,-9
7463,7463,0,7,121089,-50171,0,-732654,-480457,0,24,67
7464,7464,0,3,92663,-92699,0,-733106,-481361,0,25,-33
7465,7465,0,-3,-50124,-121109,0,-733102,-481345,0,26,-98
7466,7466,0,2,-1,-131072,0,-732625,-481027,0,27,-36
7467,7467,0,14,-50171,-121090,0,-732407,-480373,0,28,-43
7468,7468,0,-1,-92699,-92664,0,-732209,-479977,0,29,42
7469,7469,0,-4,-121109,50123,0,-731795,-479563,0,30,-39
7470,7470,0,1,-131072,0,0,-731647,-479489,0,31,-10
7471,7471,0,2,-121090,50170,0,-731560,-479402,0,32,-82
7472,7472,0,16,-92664,92698,0,87,87,0,33,-46
7473,7473,0,1,50123,121108,0,235,161,0,34,87
7474,7474,0,-5,0,131071,0,649,575,0,35,-69
7475,7475,0,17,50170,121089,0,1045,1169,0,36,59
7476,7476,0,-2,92698,92663,0,1699,2041,0,37,-67
7477,7477,0,11,121108,-50124,0,2176,2518,0,38,-5
7478,7478,0,-7,131071,-1,0,2184,2526,0,39,12
7479,7479,0,5,121089,-50171,0,1958,1848,0,40,12
7480,7480,0,0,92663,-92699,0,587,934,0,41,50
7481,7481,0,9,-50124,-121109,0,-1162,-815,0,42,19
7482,7482,0,10,-1,-131072,0,-2665,-1316,0,43,-105
7483,7483,0,-3,-50171,-121090,0,-3169,-1820,0,44,-72
7484,7484,0,-20,-92699,-92664,0,-2811,-746,0,45,17
7485,7485,0,13,-121109,50123,0,-96,1064,0,46,58
7486,7486,0,9,-131072,0,0,3582,2290,0,47,-46
7487,7487,0,11,-121090,50170,0,6876,5584,0,48,21
7488,7488,0,10,-92664,92698,0,8160,6440,0,49,-216
7489,7489,0,15,50123,121108,0,6846,5126,0,50,-141
7490,7490,0,8,0,131071,0,3244,1524,0,51,-113
7491,7491,0,13,50170,121089,0,-1768,-5994,0,52,-101
7492,7492,0,7,92698,92663,0,-4084,-8310,0,53,-109
7493,7493,0,13,121108,-50124,0,-7162,-11388,0,54,-85
7494,7494,0,5,131071,-1,0,-4862,-9088,0,55,-56
7495,7495,0,12,121089,-50171,0,5782,1556,0,56,0
7496,7496,0,-2,92663,-92699,0,21358,17132,0,57,-38
7497,7497,0,3,-50124,-121109,0,31506,27280,0,58,2
7498,7498,0,16,-1,-131072,0,34024,27280,0,59,-53
7499,7499,0,11,-50171,-121090,0,28966,22222,0,60,10
7500,7500,0,21,-92699,-92664,0,862,-5882,0,61,0
7501,7501,0,3,-121109,50123,0,-49142,-22550,0,62,-33
7502,7502,0,11,-131072,0,0,-94738,-90944,0,63,-32
7503,7503,0,2,-121090,50170,0,-173626,-117240,0,64,-20
7504,7504,0,10,-92664,92698,0,-226218,-169832,0,65,-26
7505,7505,0,-9,50123,121108,0,-317410,-215428,0,66,-53
7506,7506,0,-5,0,131071,0,-384082,-248764,0,67,-77
7507,7507,0,21,50170,121089,0,-402818,-276868,0,68,-96
7508,7508,0,8,92698,92663,0,-410405,-284455,0,69,-58
7509,7509,0,9,121108,-50124,0,-407887,-279419,0,70,77
7510,7510,0,0,131071,-1,0,-397739,-269271,0,71,58
7511,7511,0,14,121089,-50171,0,-387355,-258887,0,72,17
7512,7512,0,14,92663,-92699,0,-380259,-251791,0,73,-6
7513,7513,0,-5,-50124,-121109,0,-376809,-248341,0,74,-159
7514,7514,0,11,-1,-131072,0,-379887,-251419,0,75,89
