Sample in Buffer,Sample in Window,TRIGGER,top_i/ddc_branch_1_x7673,top_i/baseband_i[31:0],top_i/baseband_j[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,SIGNED
627,627,0,1,-57537,11889
628,628,0,1,-50575,1393
629,629,0,1,-42168,-8850
630,630,0,1,-35145,-16195
631,631,0,1,-32150,-18985
632,632,0,1,-34778,-17015
633,633,0,1,-43072,-11550
634,634,0,1,-55417,-4962
635,635,0,1,-68900,-131
636,636,0,1,-80131,335
637,637,0,1,-86138,-5182
638,638,0,1,-85216,-16743
639,639,0,1,-77441,-32649
640,640,0,1,-64684,-49601
641,641,0,1,-50130,-63293
642,642,0,1,-37381,-69398
643,643,0,1,-29494,-64681
644,644,0,1,-28121,-48041
645,645,0,1,-32995,-21188
646,646,0,1,-41947,11416
647,647,0,1,-51491,43387
648,648,0,1,-57809,67871
649,649,0,1,-57911,79386
650,650,0,1,-50532,75395
651,651,0,1,-36610,57154
652,652,0,1,-19124,29538
653,653,0,1,-2329,-296
654,654,0,1,9492,-24961
655,655,0,1,13237,-38988
656,656,0,1,7937,-40454
657,657,0,1,-5003,-31452
658,658,0,1,-22199,-17216
659,659,0,1,-39364,-4294
660,660,0,1,-52636,1708
661,661,0,1,-59634,-1961
662,662,0,1,-60011,-14309
663,663,0,1,-55273,-31117
664,664,0,1,-47967,-46486
665,665,0,1,-40566,-55035
666,666,0,1,-34615,-53751
667,667,0,1,-30303,-43016
668,668,0,1,-26824,-26374
669,669,0,1,-23198,-9186
670,670,0,1,-19165,3302
671,671,0,1,-15768,7686
672,672,0,1,-15265,3445
673,673,0,1,-20277,-7244
674,674,0,1,-32543,-20573
675,675,0,1,-51767,-32657
676,676,0,1,-75112,-40919
677,677,0,1,-97710,-44835
678,678,0,1,-113941,-45735
679,679,0,1,-119246,-45822
680,680,0,1,-111770,-46984
681,681,0,1,-93083,-49851
682,682,0,1,-67802,-53502
683,683,0,1,-42111,-56051
684,684,0,1,-21788,-55645
685,685,0,1,-10415,-51546
686,686,0,1,-8365,-44740
687,687,0,1,-13024,-37753
688,688,0,1,-20074,-33756
689,689,0,1,-25305,-35277
690,690,0,1,-26264,-43028
691,691,0,1,-23093,-55423
692,692,0,1,-18313,-68924
693,693,0,1,-15702,-79257
694,694,0,1,-18655,-82871
695,695,0,1,-28750,-78266
696,696,0,1,-45075,-66557
697,697,0,1,-64448,-51184
698,698,0,1,-82498,-36674
699,699,0,1,-95079,-27080
700,700,0,1,-99527,-24634
701,701,0,1,-95360,-29006
702,702,0,1,-84131,-37490
703,703,0,1,-68695,-46057
704,704,0,1,-52180,-50791
705,705,0,1,-37060,-49279
706,706,0,1,-24667,-41431
707,707,0,1,-15171,-29493
708,708,0,1,-8083,-17192
709,709,0,1,-2814,-8483
710,710,0,1,821,-6167
711,711,0,1,2482,-10925
712,712,0,1,1403,-21091
713,713,0,1,-3139,-33189
714,714,0,1,-11424,-43043
715,715,0,1,-23002,-47162
716,716,0,1,-36652,-43912
717,717,0,1,-50669,-34111
718,718,0,1,-63261,-20911
719,719,0,1,-72899,-8872
720,720,0,1,-78625,-2596
721,721,0,1,-80127,-5237
722,722,0,1,-77591,-17362
723,723,0,1,-71507,-36505
724,724,0,1,-62493,-57624
725,725,0,1,-51203,-74379
726,726,0,1,-38326,-80844
727,727,0,1,-24682,-73277
728,728,0,1,-11348,-51348
729,729,0,1,375,-18474
730,730,0,1,9116,18866
731,731,0,1,13661,52752
732,732,0,1,13298,75821
733,733,0,1,8016,83183
734,734,0,1,-1457,73681
735,735,0,1,-13748,50124
736,736,0,1,-27190,18438
737,737,0,1,-40195,-13995
738,738,0,1,-51550,-40278
739,739,0,1,-60578,-55707
740,740,0,1,-67120,-58805
741,741,0,1,-71324,-51343
742,742,0,1,-73434,-37463
743,743,0,1,-73636,-22285
744,744,0,1,-72066,-10276
745,745,0,1,-68958,-4117
746,746,0,1,-64718,-4093
747,747,0,1,-59991,-8351
748,748,0,1,-55528,-13788
749,749,0,1,-51893,-17207
750,750,0,1,-49172,-16489
751,751,0,1,-46802,-11267
752,752,0,1,-43722,-3030
753,753,0,1,-38825,5323
754,754,0,1,-31548,10445
755,755,0,1,-22385,9571
756,756,0,1,-13026,1357
757,757,0,1,-5997,-13617
758,758,0,1,-3827,-32961
759,759,0,1,-8027,-52973
