Sample in Buffer,Sample in Window,TRIGGER,top_i/c_shift_ram_0_Q[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED
664,664,0,-59
665,665,0,-52
666,666,0,-16
667,667,0,-45
668,668,0,1
669,669,0,28
670,670,0,17
671,671,0,13
672,672,0,-33
673,673,0,49
674,674,0,46
675,675,0,-38
676,676,0,102
677,677,0,-3
678,678,0,12
679,679,0,15
680,680,0,-20
681,681,0,33
682,682,0,42
683,683,0,40
684,684,0,-52
685,685,0,0
686,686,0,-11
687,687,0,26
688,688,0,56
689,689,0,-53
690,690,0,67
691,691,0,65
692,692,0,52
693,693,0,49
694,694,0,-73
695,695,0,-19
696,696,0,-49
697,697,0,74
698,698,0,85
699,699,0,68
700,700,0,-26
701,701,0,1
702,702,0,32
703,703,0,-7
704,704,0,85
705,705,0,15
706,706,0,4
707,707,0,39
708,708,0,-5
709,709,0,31
710,710,0,42
711,711,0,14
712,712,0,-5
713,713,0,35
714,714,0,55
715,715,0,4
716,716,0,17
717,717,0,-59
718,718,0,37
719,719,0,0
720,720,0,-48
721,721,0,-61
722,722,0,-51
723,723,0,50
724,724,0,66
725,725,0,7
726,726,0,-12
727,727,0,54
728,728,0,23
729,729,0,45
730,730,0,90
731,731,0,-103
732,732,0,-29
733,733,0,3
734,734,0,72
735,735,0,69
736,736,0,-5
737,737,0,44
738,738,0,65
739,739,0,46
740,740,0,-30
741,741,0,-44
742,742,0,18
743,743,0,54
744,744,0,-60
745,745,0,-65
746,746,0,69
747,747,0,17
748,748,0,-33
749,749,0,29
750,750,0,3
751,751,0,115
752,752,0,67
753,753,0,-75
754,754,0,-84
755,755,0,-26
756,756,0,63
757,757,0,85
758,758,0,67
759,759,0,4
760,760,0,69
761,761,0,2
762,762,0,14
763,763,0,74
764,764,0,-5
765,765,0,60
766,766,0,109
767,767,0,0
768,768,0,-41
769,769,0,-23
770,770,0,58
771,771,0,43
772,772,0,24
773,773,0,-27
774,774,0,56
775,775,0,31
776,776,0,-11
777,777,0,-32
778,778,0,-80
779,779,0,29
780,780,0,29
781,781,0,19
782,782,0,3
783,783,0,6
784,784,0,5
785,785,0,15
786,786,0,69
787,787,0,-45
788,788,0,-30
789,789,0,5
790,790,0,12
791,791,0,63
792,792,0,-22
793,793,0,15
794,794,0,8
795,795,0,-12
796,796,0,35
797,797,0,80
798,798,0,79
799,799,0,113
800,800,0,84
801,801,0,-14
802,802,0,92
803,803,0,27
804,804,0,-66
805,805,0,19
806,806,0,-40
807,807,0,38
808,808,0,-3
809,809,0,-89
810,810,0,-35
811,811,0,6
812,812,0,21
813,813,0,-33
814,814,0,-11
815,815,0,24
816,816,0,59
