Sample in Buffer,Sample in Window,TRIGGER,top_i/c_shift_ram_0_Q[15:0],top_i/waveform_iq_waveform_i[17:0],top_i/lut_decoder_1_x8[17:0],top_i/ddc_branch_0_x7673,top_i/xlslice_1_Dout[35:0],top_i/xlslice_2_Dout[35:0],top_i/unwrap_diff_0_x55,top_i/unwrap_diff_0_x56[31:0],top_i/signal_input_adc_out_2[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,HEX,SIGNED,SIGNED,HEX,SIGNED,SIGNED
2126,2126,0,-8,-22365,-129149,0,-529439,-2998032,1,10121056,-13
2127,2127,0,43,129148,-22365,0,-367242,-2855178,1,41103544,-26
2128,2128,0,87,22364,129148,0,-48177,-2478302,1,80836917,-29
2129,2129,0,-31,-129149,22364,0,387225,-2095169,1,128679616,-22
2130,2130,0,-47,-22365,-129149,0,761613,-1661794,1,159406646,-16
2131,2131,0,-109,129148,-22365,0,1377502,-1265490,1,137786012,-10
2132,2132,0,50,22364,129148,0,1675029,-945385,1,79668918,-37
2133,2133,0,-12,-129149,22364,0,1577186,-815462,1,21262994,-23
2134,2134,0,-94,-22365,-129149,0,1381015,-832303,1,-28577240,-20
2135,2135,0,92,129148,-22365,0,1175052,-1030010,1,-77523670,-17
2136,2136,0,-117,22364,129148,0,783870,-1173152,1,-135787198,-19
2137,2137,0,147,-129149,22364,0,355701,-1210401,1,-198168436,-19
2138,2138,0,-47,-22365,-129149,0,-110128,-1285438,1,-212550497,-20
2139,2139,0,38,129148,-22365,0,-467942,-1367534,1,-150906802,-20
2140,2140,0,31,22364,129148,0,-789812,-1348662,1,-72203926,-23
2141,2141,0,156,-129149,22364,0,-1092136,-1483607,1,-12386092,-7
2142,2142,0,70,-22365,-129149,0,-1241916,-1711864,1,27666934,-23
2143,2143,0,69,129148,-22365,0,-1268435,-1906771,1,51316836,-6
2144,2144,0,60,22364,129148,0,-1063256,-2207745,1,61488180,-13
2145,2145,0,44,-129149,22364,0,-661674,-2417429,1,61681888,-15
2146,2146,0,29,-22365,-129149,0,-330882,-2465498,1,56369164,-9
2147,2147,0,10,129148,-22365,0,-110130,-2339732,1,49309866,-23
2148,2148,0,34,22364,129148,0,21492,-2148138,1,42690391,-23
2149,2149,0,2,-129149,22364,0,67064,-1926419,1,36875588,-35
2150,2150,0,-46,-22365,-129149,0,236367,-1661725,1,30815722,-22
2151,2151,0,129,129148,-22365,0,356447,-1512341,1,23091734,-21
2152,2152,0,68,22364,129148,0,359580,-1459197,1,14932842,-17
2153,2153,0,26,-129149,22364,0,385777,-1518636,1,10058568,-12
2154,2154,0,-93,-22365,-129149,0,396184,-1752663,1,9748328,-24
2155,2155,0,135,129148,-22365,0,469269,-2016947,1,12405440,-12
2156,2156,0,-159,22364,129148,0,730948,-2256345,1,16861874,-21
2157,2157,0,13,-129149,22364,0,900300,-2199116,1,23206940,-8
2158,2158,0,23,-22365,-129149,0,856371,-1870996,1,32540014,-12
2159,2159,0,19,129148,-22365,0,815028,-1498228,1,46912852,-35
2160,2160,0,-37,22364,129148,0,633844,-1119425,1,69770896,-21
2161,2161,0,79,-129149,22364,0,328418,-744513,1,105512268,-18
2162,2162,0,36,-22365,-129149,0,272728,-256035,1,151234778,-18
2163,2163,0,17,129148,-22365,0,166399,-5902,1,-1346395431,-21
2164,2164,0,17,22364,129148,0,-203500,140698,1,82213978,-21
2165,2165,0,-23,-129149,22364,0,-466256,-18861,1,138800630,-22
2166,2166,0,83,-22365,-129149,0,-555627,-351332,1,97255806,-26
2167,2167,0,92,129148,-22365,0,-634378,-771115,1,71993180,-27
2168,2168,0,-17,22364,129148,0,-627691,-1173036,1,65758000,-18
2169,2169,0,21,-129149,22364,0,-537961,-1295800,1,82126394,-22
2170,2170,0,19,-22365,-129149,0,-402651,-1156379,1,128470084,-11
2171,2171,0,348,129148,-22365,0,126542,-1098683,1,185986363,-8
2172,2172,0,-68,22364,129148,0,631354,-1003566,1,173374912,-14
2173,2173,0,-11,-129149,22364,0,931298,-1006592,1,91053356,-14
2174,2174,0,37,-22365,-129149,0,1281959,-1243066,1,21559008,-24
2175,2175,0,-27,129148,-22365,0,1374393,-1591598,1,-16894654,-25
2176,2176,0,48,22364,129148,0,1373179,-2010259,1,-36241790,-9
2177,2177,0,23,-129149,22364,0,1380388,-2311636,1,-46779690,-28
2178,2178,0,-36,-22365,-129149,0,1274844,-2580835,1,-54328374,-36
2179,2179,0,-60,129148,-22365,0,1036105,-2607263,1,-61591346,-27
2180,2180,0,104,22364,129148,0,628423,-2369525,1,-68246816,-15
2181,2181,0,-3,-129149,22364,0,287354,-1897202,1,-70202120,-13
2182,2182,0,-11,-22365,-129149,0,70323,-1464786,1,-58721849,-28
2183,2183,0,21,129148,-22365,0,-130923,-1304893,1,-25702020,-30
2184,2184,0,29,22364,129148,0,-229063,-1240889,1,20501272,-3
2185,2185,0,101,-129149,22364,0,-206813,-1288147,1,42952593,-16
2186,2186,0,42,-22365,-129149,0,-92001,-1247814,1,16186026,-19
2187,2187,0,-151,129148,-22365,0,-49830,-1299797,1,-34647059,-28
2188,2188,0,-65,22364,129148,0,-153473,-1492091,1,-77069976,-12
2189,2189,0,-93,-129149,22364,0,-352982,-1747076,1,-95106798,-25
2190,2190,0,59,-22365,-129149,0,-680540,-2066433,1,-85853718,-17
2191,2191,0,87,129148,-22365,0,-1062145,-2146402,1,-57554910,-22
2192,2192,0,20,22364,129148,0,-1359409,-2055328,1,-19809822,-17
2193,2193,0,-13,-129149,22364,0,-1504562,-2058281,1,24008200,-22
2194,2194,0,59,-22365,-129149,0,-1529560,-2120711,1,73106068,-31
2195,2195,0,-43,129148,-22365,0,-1045750,-2203797,1,117174680,-9
2196,2196,0,-55,22364,129148,0,-276728,-2350009,1,130831725,-13
2197,2197,0,-22,-129149,22364,0,490016,-2352005,1,105075902,-25
2198,2198,0,-83,-22365,-129149,0,964166,-2308062,1,63803614,-20
2199,2199,0,71,129148,-22365,0,1224886,-2343283,1,27671000,-8
2200,2200,0,32,22364,129148,0,1101225,-2308373,1,2182008,-15
2201,2201,0,82,-129149,22364,0,821219,-2130031,1,-11487948,-13
2202,2202,0,-36,-22365,-129149,0,504801,-1909914,1,-10992430,-12
2203,2203,0,1,129148,-22365,0,415953,-1664521,1,4292570,2
2204,2204,0,35,22364,129148,0,457338,-1564311,1,24368666,-16
2205,2205,0,7,-129149,22364,0,635542,-1582453,1,30725678,-23
2206,2206,0,55,-22365,-129149,0,782416,-1549259,1,17660554,-15
2207,2207,0,-44,129148,-22365,0,921517,-1636190,1,-4145110,-13
2208,2208,0,65,22364,129148,0,1207958,-1863903,1,-25351880,-22
2209,2209,0,-10,-129149,22364,0,1039324,-1981499,1,-43880502,-20
2210,2210,0,9,-22365,-129149,0,555896,-2078853,1,-61055202,-22
2211,2211,0,19,129148,-22365,0,109395,-2074770,1,-77654728,-10
2212,2212,0,-11,22364,129148,0,-229713,-1909361,1,-90671227,-40
2213,2213,0,-117,-129149,22364,0,-477391,-1704617,1,-90850678,-12
2214,2214,0,-35,-22365,-129149,0,-615994,-1547331,1,-70147118,-28
2215,2215,0,11,129148,-22365,0,-764682,-1589697,1,-35935786,-22
2216,2216,0,-24,22364,129148,0,-874909,-1793577,1,-4693974,-19
2217,2217,0,27,-129149,22364,0,-882046,-1991250,1,15703022,-27
2218,2218,0,-33,-22365,-129149,0,-891305,-2272463,1,28013962,-4
2219,2219,0,-8,129148,-22365,0,-768686,-2707563,1,38324954,-40
2220,2220,0,18,22364,129148,0,-608508,-2794149,1,51314672,-12
2221,2221,0,-55,-129149,22364,0,-448579,-2691455,1,69323634,-15
2222,2222,0,59,-22365,-129149,0,-79164,-2398162,1,90749037,-25
2223,2223,0,60,129148,-22365,0,382584,-2135402,1,105930808,-19
2224,2224,0,24,22364,129148,0,706481,-1751070,1,97146596,-23
2225,2225,0,18,-129149,22364,0,922727,-1384234,1,51564550,2
2226,2226,0,4,-22365,-129149,0,840510,-1217347,1,-33445186,-25
2227,2227,0,-44,129148,-22365,0,571481,-1244710,1,-153241198,-20
2228,2228,0,75,22364,129148,0,-1563,-1202841,1,-226164585,-23
2229,2229,0,25,-129149,22364,0,-759201,-1323167,1,-166150536,-21
2230,2230,0,-22,-22365,-129149,0,-1240817,-1541917,1,-82066918,-4
2231,2231,0,7,129148,-22365,0,-1469398,-1710965,1,-30283322,-25
2232,2232,0,-19,22364,129148,0,-1601955,-1979964,1,1989512,-15
2233,2233,0,103,-129149,22364,0,-1650742,-1947858,1,27462318,-10
2234,2234,0,-25,-22365,-129149,0,-1414459,-1845290,1,51355636,-26
2235,2235,0,105,129148,-22365,0,-959038,-1741082,1,70893430,-30
2236,2236,0,22,22364,129148,0,-552023,-1783889,1,75923482,-8
2237,2237,0,16,-129149,22364,0,-326264,-1895911,1,59018250,-14
2238,2238,0,95,-22365,-129149,0,-186894,-1960700,1,28235148,-15
2239,2239,0,0,129148,-22365,0,-276362,-1894422,1,-1022862,-27
2240,2240,0,44,22364,129148,0,-373389,-1959232,1,-20462246,-12
2241,2241,0,-113,-129149,22364,0,-467241,-1964976,1,-30103052,-15
