Frequency,Attenuation_dB
1.552364028125000000e+07,-3.400703114037639807e-02
1.552381606250000000e+07,-3.353949225532060208e-02
1.552399184375000000e+07,-2.803284206021490824e-02
1.552416762500000000e+07,-3.090017638011920836e-02
1.552434340625000000e+07,-3.883506136193300151e-02
1.552451918750000000e+07,-4.600854903384619943e-02
1.552469496875000000e+07,-4.947113883272898083e-02
1.552487075000000000e+07,-4.369121014129683650e-02
1.552504653125000000e+07,-4.275235319966276537e-02
1.552522231250000000e+07,-4.510120374066951127e-02
1.552539809375000000e+07,-4.874150453024164026e-02
1.552557387500000000e+07,-5.131144972097385903e-02
1.552574965625000000e+07,-5.019335676747429392e-02
1.552592543750000000e+07,-4.263201035433642622e-02
1.552610121875000000e+07,-5.053759777745001763e-02
1.552627700000000000e+07,-5.447242034380862796e-02
1.552645278125000000e+07,-5.655093217528155136e-02
1.552662856250000000e+07,-6.047424045859536856e-02
1.552680434375000000e+07,-6.661288614821966880e-02
1.552698012500000000e+07,-6.053329603927323777e-02
1.552715590625000000e+07,-5.970927382800940431e-02
1.552733168750000000e+07,-6.150747037468497908e-02
1.552750746875000000e+07,-6.284923432965186518e-02
1.552768325000000000e+07,-6.039774634426968436e-02
1.552785903125000000e+07,-5.749698425828120990e-02
1.552803481250000000e+07,-6.487842568205363925e-02
1.552821059375000000e+07,-6.659791536806586310e-02
1.552838637500000000e+07,-6.585563376967505655e-02
1.552856215625000000e+07,-6.569418016669181792e-02
1.552873793750000000e+07,-6.880014164299656787e-02
1.552891371875000000e+07,-7.745973042511665463e-02
1.552908950000000000e+07,-7.193425615928233929e-02
1.552926528125000000e+07,-6.948510900725267392e-02
1.552944106250000000e+07,-6.768280352314069714e-02
1.552961684375000000e+07,-6.254996280588048796e-02
1.552979262500000000e+07,-6.546548281729887286e-02
1.552996840625000000e+07,-7.114554384112624363e-02
1.553014418750000000e+07,-7.181193791386836223e-02
1.553031996875000000e+07,-6.995923760946035075e-02
1.553049575000000000e+07,-6.788318856651720523e-02
1.553067153125000000e+07,-6.757225899760049836e-02
1.553084731250000000e+07,-7.064971311738552084e-02
1.553102309375000000e+07,-7.827399121286890415e-02
1.553119887500000000e+07,-7.417322761622228977e-02
1.553137465625000000e+07,-6.675186843990413288e-02
1.553155043750000000e+07,-5.691657068623380555e-02
1.553172621875000000e+07,-6.467412930726500198e-02
1.553190200000000000e+07,-6.854261195344221735e-02
1.553207778125000000e+07,-6.864911626422585955e-02
1.553225356250000000e+07,-6.674462834119287979e-02
1.553242934375000000e+07,-6.434815917495796678e-02
1.553260512500000000e+07,-6.270078194069075850e-02
1.553278090625000000e+07,-6.264959230065696161e-02
1.553295668750000000e+07,-6.473513968840424737e-02
1.553313246875000000e+07,-6.906527287073804811e-02
1.553330825000000000e+07,-6.282434459688050754e-02
1.553348403125000000e+07,-5.254947581139878671e-02
1.553365981250000000e+07,-5.698207257726085884e-02
1.553383559375000000e+07,-5.827300813723353817e-02
1.553401137500000000e+07,-5.761257308463745008e-02
1.553418715625000000e+07,-5.603182346781404588e-02
1.553436293750000000e+07,-5.425026157519008407e-02
1.553453871875000000e+07,-5.271475983054402237e-02
1.553471450000000000e+07,-5.152776120076378585e-02
