Frequency,Attenuation_dB
3.015027000000000000e+06,-8.602270015742261933e+01
3.022527000000000000e+06,-8.610119571151250284e+01
3.030027000000000000e+06,-8.601018054431791882e+01
3.037527000000000000e+06,-8.603056154013845003e+01
3.045027000000000000e+06,-8.595672690537016081e+01
3.052527000000000000e+06,-8.607899199745098429e+01
3.060027000000000000e+06,-8.608511920272731288e+01
3.067527000000000000e+06,-8.604935113617796105e+01
3.075027000000000000e+06,-8.609416087110624005e+01
3.082527000000000000e+06,-8.585028809425421059e+01
3.090027000000000000e+06,-8.586404611678062793e+01
3.097527000000000000e+06,-8.589433177509020823e+01
3.105027000000000000e+06,-8.583047381808717091e+01
3.112527000000000000e+06,-8.684717810013985684e+01
3.120027000000000000e+06,-8.587874524288871214e+01
3.127527000000000000e+06,-8.603373775619390074e+01
3.135027000000000000e+06,-8.588443337457877647e+01
3.142527000000000000e+06,-8.612356108307051272e+01
3.150027000000000000e+06,-8.589261399134207409e+01
3.157527000000000000e+06,-8.585715258722484577e+01
3.165027000000000000e+06,-8.602799101050669606e+01
3.172527000000000000e+06,-8.584594148924026058e+01
3.180027000000000000e+06,-8.628823767387791577e+01
3.187527000000000000e+06,-8.605269359731799739e+01
3.195027000000000000e+06,-8.626123162742635486e+01
3.202527000000000000e+06,-8.611093623704681477e+01
3.210027000000000000e+06,-8.617756072860194649e+01
3.217527000000000000e+06,-8.612329887740577306e+01
3.225027000000000000e+06,-8.624276108223865833e+01
3.232527000000000000e+06,-8.608484347587987884e+01
3.240027000000000000e+06,-8.617518610522373024e+01
3.247527000000000000e+06,-8.609858361851340192e+01
3.255027000000000000e+06,-8.615265830588684537e+01
3.262527000000000000e+06,-8.605940254947373091e+01
3.270027000000000000e+06,-8.605845749284608814e+01
3.277527000000000000e+06,-8.598771841156009543e+01
3.285027000000000000e+06,-8.625482465940221743e+01
3.292527000000000000e+06,-8.628387187896962018e+01
3.300027000000000000e+06,-8.628464979424089165e+01
3.307527000000000000e+06,-8.600061592606510885e+01
3.315027000000000000e+06,-8.609024548364178031e+01
3.322527000000000000e+06,-8.617771647547421310e+01
3.330027000000000000e+06,-8.630453150696135367e+01
3.337527000000000000e+06,-8.615297885056193650e+01
3.345027000000000000e+06,-8.611861783930173431e+01
3.352527000000000000e+06,-8.607508370872460546e+01
3.360027000000000000e+06,-8.621035682031093472e+01
3.367527000000000000e+06,-8.603347467651497027e+01
3.375027000000000000e+06,-8.602384970661663033e+01
3.382527000000000000e+06,-8.593576325451410014e+01
3.390027000000000000e+06,-8.603351355644409182e+01
3.397527000000000000e+06,-8.614542546225543163e+01
3.405027000000000000e+06,-8.624276608932461841e+01
3.412527000000000000e+06,-8.610533524310632458e+01
3.420027000000000000e+06,-8.613411821203041541e+01
3.427527000000000000e+06,-8.611229365652687306e+01
3.435027000000000000e+06,-8.615876969862955548e+01
3.442527000000000000e+06,-8.606581780501198864e+01
3.450027000000000000e+06,-8.603297446505675339e+01
3.457527000000000000e+06,-8.601830297173799522e+01
3.465027000000000000e+06,-8.622340812074537553e+01
3.472527000000000000e+06,-8.611287255561029497e+01
3.480027000000000000e+06,-8.592664438435735974e+01
3.487527000000000000e+06,-8.617243342016335816e+01
3.495027000000000000e+06,-8.599069829673082666e+01
3.502527000000000000e+06,-8.603927797480820061e+01
3.510027000000000000e+06,-8.608480913580996230e+01
3.517527000000000000e+06,-8.610294417211819962e+01
3.525027000000000000e+06,-8.602340898448707662e+01
3.532527000000000000e+06,-8.610294678356999043e+01
3.540027000000000000e+06,-8.613415892314021960e+01
3.547527000000000000e+06,-8.602918945658308303e+01
3.555027000000000000e+06,-8.600796261974871015e+01
3.562527000000000000e+06,-8.610458166450837325e+01
3.570027000000000000e+06,-8.597706209466070959e+01
3.577527000000000000e+06,-8.604393777455300096e+01
3.585027000000000000e+06,-8.619482487326632736e+01
3.592527000000000000e+06,-8.586543338770455591e+01
3.600027000000000000e+06,-8.608201195661894189e+01
3.607527000000000000e+06,-8.582649033807544470e+01
3.615027000000000000e+06,-8.614623648210556439e+01
3.622527000000000000e+06,-8.598440214568776696e+01
3.630027000000000000e+06,-8.613751036517543014e+01
3.637527000000000000e+06,-8.553891420058741346e+01
3.645027000000000000e+06,-8.579256969317526682e+01
3.652527000000000000e+06,-8.615995412134657272e+01
3.660027000000000000e+06,-8.598329318072381966e+01
3.667527000000000000e+06,-8.615333797573106267e+01
3.675027000000000000e+06,-8.600392383937119689e+01
3.682527000000000000e+06,-8.615450475140443132e+01
3.690027000000000000e+06,-8.598265417345352546e+01
3.697527000000000000e+06,-8.601527685119776834e+01
3.705027000000000000e+06,-8.587196262360420462e+01
3.712527000000000000e+06,-8.598027983296833554e+01
3.720027000000000000e+06,-8.609113971596426040e+01
3.727527000000000000e+06,-8.603518019590197241e+01
3.735027000000000000e+06,-8.599864727990551216e+01
3.742527000000000000e+06,-8.597737196708386875e+01
