Sample in Buffer,Sample in Window,TRIGGER,top_i/ddc_branch_1_x7673,top_i/baseband_j[31:0],top_i/baseband_i[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,SIGNED
353,353,0,1,-366402,201030
354,354,0,1,-364910,198522
355,355,0,1,-350852,193522
356,356,0,1,-327287,191375
357,357,0,1,-299330,195482
358,358,0,1,-272433,206358
359,359,0,1,-250731,221879
360,360,0,1,-236035,238596
361,361,0,1,-227762,253183
362,362,0,1,-223721,263754
363,363,0,1,-221219,270385
364,364,0,1,-218167,274725
365,365,0,1,-213559,278908
366,366,0,1,-207387,284489
367,367,0,1,-200198,291745
368,368,0,1,-192531,299624
369,369,0,1,-184687,306323
370,370,0,1,-176819,310183
371,371,0,1,-169255,310413
372,372,0,1,-162750,307491
373,373,0,1,-158406,302933
374,374,0,1,-157342,298811
375,375,0,1,-160046,297130
376,376,0,1,-165940,299350
377,377,0,1,-173399,306097
378,378,0,1,-180297,317125
379,379,0,1,-184875,331354
380,380,0,1,-186607,346851
381,381,0,1,-186572,360934
382,382,0,1,-187173,370312
383,383,0,1,-191221,371542
384,384,0,1,-200799,361728
385,385,0,1,-216293,339355
386,386,0,1,-236243,304954
387,387,0,1,-257842,261361
388,388,0,1,-278106,213280
389,389,0,1,-295012,166295
390,390,0,1,-308211,125524
391,391,0,1,-318961,94458
392,392,0,1,-329370,74348
393,393,0,1,-341228,64330
394,394,0,1,-355111,62106
395,395,0,1,-370008,64932
396,396,0,1,-383689,70550
397,397,0,1,-393684,77597
398,398,0,1,-398396,85462
399,399,0,1,-397755,93852
400,400,0,1,-393320,102289
401,401,0,1,-387640,109837
402,402,0,1,-383200,115266
403,403,0,1,-381396,117590
404,404,0,1,-381981,116568
405,405,0,1,-383098,113106
406,406,0,1,-381950,109193
407,407,0,1,-375834,107496
408,408,0,1,-363033,110682
409,409,0,1,-343414,120775
410,410,0,1,-318638,138841
411,411,0,1,-291703,164893
412,412,0,1,-266231,198012
413,413,0,1,-245559,236544
414,414,0,1,-231865,278122
415,415,0,1,-225521,319688
416,416,0,1,-224855,357491
417,417,0,1,-226346,387419
418,418,0,1,-225319,405650
419,419,0,1,-217126,409662
420,420,0,1,-198465,399265
421,421,0,1,-168438,377186
422,422,0,1,-129179,348848
423,423,0,1,-85581,321287
424,424,0,1,-44095,301301
425,425,0,1,-10956,293473
426,426,0,1,9560,298762
427,427,0,1,16366,314214
428,428,0,1,11790,333958
429,429,0,1,583,351322
430,430,0,1,-11836,361187
431,431,0,1,-21390,361820
432,432,0,1,-26819,355452
433,433,0,1,-29951,347273
434,434,0,1,-34869,343242
435,435,0,1,-46166,347521
436,436,0,1,-66981,360503
437,437,0,1,-97709,378158
438,438,0,1,-135729,393129
439,439,0,1,-176222,397316
440,440,0,1,-213922,384624
441,441,0,1,-244828,353335
442,442,0,1,-267388,306840
443,443,0,1,-282729,252648
444,444,0,1,-293893,199940
445,445,0,1,-304496,156578
446,446,0,1,-317277,126701
447,447,0,1,-333280,109864
448,448,0,1,-351668,101843
449,449,0,1,-370334,96813
450,450,0,1,-386819,89947
451,451,0,1,-399246,79321
452,452,0,1,-406806,66375
453,453,0,1,-409792,54801
454,454,0,1,-409188,48312
455,455,0,1,-406205,48371
456,456,0,1,-401831,52888
457,457,0,1,-396693,56568
458,458,0,1,-391095,52829
459,459,0,1,-385229,36619
460,460,0,1,-379266,6980
461,461,0,1,-373370,-31800
462,462,0,1,-367587,-70845
463,463,0,1,-361809,-99325
464,464,0,1,-355730,-107937
465,465,0,1,-349086,-91971
466,466,0,1,-341904,-53057
467,467,0,1,-334804,1182
468,468,0,1,-329016,59450
469,469,0,1,-326081,110057
470,470,0,1,-327318,144198
471,471,0,1,-333222,158090
472,472,0,1,-342959,153376
473,473,0,1,-354344,135880
474,474,0,1,-364263,113326
475,475,0,1,-369633,93030
476,476,0,1,-368406,80098
477,477,0,1,-360433,76658
478,478,0,1,-347757,82194
479,479,0,1,-334235,94440
480,480,0,1,-324425,110412
481,481,0,1,-322188,127200
482,482,0,1,-329465,142338
483,483,0,1,-345399,153823
484,484,0,1,-366555,160114
485,485,0,1,-387865,160168
